SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-23-2022,Single Family Residential,2441 Bryant St,Palo Alto,CA,94301,2938000,3,2.0,Palo Alto,1742,6299,1937,,1687,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2441-Bryant-St-94301/home/1159504,MetroList,222075602,N,Y,37.4306342,-122.1369702
PAST SALE,August-18-2022,Single Family Residential,2490 Ross Rd,Palo Alto,CA,94303,3200000,3,2.0,PALO ALTO,1711,7235,1947,,1870,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2490-Ross-Rd-94303/home/1666015,MLSListings,ML81898988,N,Y,37.4374088,-122.1298276
PAST SALE,July-21-2022,Single Family Residential,14309 Stanford Ct,Los Altos Hills,CA,94022,3300000,5,3.0,LOS ALTOS HILLS,2180,56223,1969,,1514,,Sold,,,https://www.redfin.com/CA/Los-Altos-Hills/14309-Stanford-Ct-94022/home/641112,MLSListings,ML81891176,N,Y,37.3883143,-122.1694828
PAST SALE,,Single Family Residential,2390 Greer Rd,Palo Alto,CA,94303,2090000,3,2.0,,1324,8195,1959,,1579,,,,,https://www.redfin.com/CA/Palo-Alto/2390-Greer-Rd-94303/home/1800440,,,N,Y,37.4432704,-122.1261896
PAST SALE,November-10-2022,Single Family Residential,3404 Bryant St,Palo Alto,CA,94306,2625000,2,1.0,PALO ALTO,955,6083,1949,,2749,,Sold,,,https://www.redfin.com/CA/Palo-Alto/3404-Bryant-St-94306/home/600179,MLSListings,ML81906392,N,Y,37.4213927,-122.12406
PAST SALE,July-21-2022,Single Family Residential,2150 Park Blvd,Palo Alto,CA,94306,3450000,4,3.5,PALO ALTO,2046,5039,1950,,1686,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2150-Park-Blvd-94306/home/1253583,MLSListings,ML81891310,N,Y,37.430148,-122.1449994
PAST SALE,May-16-2022,Single Family Residential,2252 Louis Rd,Palo Alto,CA,94303,3700000,5,2.5,PALO ALTO,2209,7353,1946,,1675,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2252-Louis-Rd-94303/home/867296,MLSListings,ML81879930,N,Y,37.4418237,-122.1307149
PAST SALE,December-16-2022,Single Family Residential,2025 Alma St,Palo Alto,CA,94301,1460000,3,1.0,PALO ALTO,1131,5000,1927,,1291,,Sold,,,https://www.redfin.com/CA/Palo-Alto/2025-Alma-St-94301/home/1271911,MLSListings,ML81910932,N,Y,37.431601,-122.1448109
PAST SALE,September-14-2022,Single Family Residential,416 Cole Ct,Palo Alto,CA,94306,2675000,4,3.5,PALO ALTO,2120,1190,2013,,1262,190,Sold,,,https://www.redfin.com/CA/Palo-Alto/416-Cole-Ct-94306/home/95955104,MLSListings,ML81888954,N,Y,37.4063461,-122.1186776
PAST SALE,August-29-2022,Single Family Residential,1491 Greenwood Ave,Palo Alto,CA,94301,3960000,5,3.0,PALO ALTO,2572,9678,1957,,1540,,Sold,,,https://www.redfin.com/CA/Palo-Alto/1491-Greenwood-Ave-94301/home/1587662,MLSListings,ML81895464,N,Y,37.4479279,-122.1400533
PAST SALE,January-13-2023,Single Family Residential,702 Garland Dr,Palo Alto,CA,94303,3125000,3,2.0,PALO ALTO,1976,7832,1945,,1581,,Sold,,,https://www.redfin.com/CA/Palo-Alto/702-Garland-Dr-94303/home/1640689,MLSListings,ML81908722,N,Y,37.436477,-122.1336429
