SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-10-2022,Single Family Residential,1358 Frontenac Ave,Sunnyvale,CA,94087,3220000,4,2.0,SUNNYVALE,1371,6955,1955,,2349,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1358-Frontenac-Ave-94087/home/1164637,MLSListings,ML81876598,N,Y,37.3497519,-122.0530041
PAST SALE,May-18-2022,Single Family Residential,1543 Oriole Ave,Sunnyvale,CA,94087,2757990,3,2.0,SUNNYVALE,1362,6340,1962,,2025,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1543-Oriole-Ave-94087/home/1119939,MLSListings,ML81886487,N,Y,37.3433421,-122.0103528
PAST SALE,May-19-2022,Single Family Residential,405 Wilson Ave,Sunnyvale,CA,94086,1610000,3,2.0,SUNNYVALE,1353,5720,1950,,1190,,Sold,,,https://www.redfin.com/CA/Sunnyvale/405-Wilson-Ave-94086/home/1224246,MLSListings,ML81890242,N,Y,37.3712199,-122.0231655
PAST SALE,April-12-2022,Single Family Residential,1087 W Washington Ave,Sunnyvale,CA,94086,3025000,5,3.0,SUNNYVALE,2616,6213,1965,,1156,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1087-W-Washington-Ave-94086/home/628318,MLSListings,ML81880965,N,Y,37.3798335,-122.0488974
PAST SALE,March-2-2022,Single Family Residential,1009 Cascade Dr,Sunnyvale,CA,94087,4500000,6,4.5,SUNNYVALE,3158,10370,1955,,1425,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1009-Cascade-Dr-94087/home/1714005,MLSListings,ML81877663,N,Y,37.3482972,-122.0556457
PAST SALE,March-18-2022,Single Family Residential,1382 Flicker Way,Sunnyvale,CA,94087,2638000,3,2.0,SUNNYVALE,1200,5885,1962,,2198,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1382-Flicker-Way-94087/home/1486852,MLSListings,ML81877567,N,Y,37.3497175,-122.0209006
PAST SALE,April-18-2022,Single Family Residential,1316 Nelson Way,Sunnyvale,CA,94087,3425000,4,2.0,SUNNYVALE,1665,9640,1958,,2057,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1316-Nelson-Way-94087/home/769134,MLSListings,ML81881085,N,Y,37.3512626,-122.0438358
PAST SALE,May-4-2022,Single Family Residential,954 Bluebonnet Dr,Sunnyvale,CA,94086,2757000,4,2.0,SUNNYVALE,1758,6284,1976,,1568,,Sold,,,https://www.redfin.com/CA/Sunnyvale/954-Bluebonnet-Dr-94086/home/1736819,MLSListings,ML81885674,N,Y,37.3672381,-122.0107303
PAST SALE,June-3-2022,Single Family Residential,1601 Kalispell Ct,Sunnyvale,CA,94087,3200000,3,2.0,SUNNYVALE,1544,7992,1961,,2073,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1601-Kalispell-Ct-94087/home/770213,MLSListings,ML81890372,N,Y,37.3398791,-122.0523826
PAST SALE,October-17-2022,Single Family Residential,1008 Lupine Dr,Sunnyvale,CA,94086,2820000,5,2.5,SUNNYVALE,2249,7006,1977,,1254,,Sold,,,https://www.redfin.com/CA/Sunnyvale/1008-Lupine-Dr-94086/home/1592711,MLSListings,ML81907072,N,Y,37.360681,-122.0081987
