SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-3-2021,Single Family Residential,540 9th Ave,MENLO PARK,CA,94025,1900000,2,2.0,MENLO PARK,1480,6665,1948,26,1284,,Sold,,,http://www.redfin.com/CA/Menlo-Park/540-9th-Ave-94025/home/848278,MLSListings,ML81855390,Y,Y,37.474218,-122.1984651
PAST SALE,September-10-2021,Single Family Residential,812 11th Ave,REDWOOD CITY,CA,94063,1504000,2,1.0,REDWOOD CITY,1090,6050,1947,19,1380,,Sold,,,http://www.redfin.com/CA/Redwood-City/812-Eleventh-Ave-94063/home/2058058,MLSListings,ML81845490,N,Y,37.4784756,-122.1941204
PAST SALE,September-15-2021,Single Family Residential,260 Vera Ave,REDWOOD CITY,CA,94061,870000,2,1.0,REDWOOD CITY,770,3640,1921,14,1130,,Sold,,,http://www.redfin.com/CA/Redwood-City/260-Vera-Ave-94061/home/811805,MLSListings,ML81846952,N,Y,37.4789561,-122.2299023
PAST SALE,September-27-2021,Single Family Residential,1216 San Mateo Dr,MENLO PARK,CA,94025,6931000,4,3.5,MENLO PARK,3940,36200,1992,2,1759,,Sold,,,http://www.redfin.com/CA/Menlo-Park/1216-San-Mateo-Dr-94025/home/1753991,MLSListings,ML81853079,N,Y,37.4465705,-122.1914111
PAST SALE,September-10-2021,Single Family Residential,760 College Ave,MENLO PARK,CA,94025,4400000,4,4.5,MENLO PARK,2401,5618,2021,19,1833,,Sold,,,http://www.redfin.com/CA/Menlo-Park/760-College-Ave-94025/home/1082789,MLSListings,ML81846387,N,Y,37.4476495,-122.1782746
PAST SALE,September-10-2021,Single Family Residential,1880 Miramonte Ave,MOUNTAIN VIEW,CA,94040,3450000,4,3.0,MOUNTAIN VIEW,2557,10935,1965,19,1349,,Sold,,,http://www.redfin.com/CA/Mountain-View/1880-Miramonte-Ave-94040/home/1392343,MLSListings,ML81854919,N,Y,37.3694701,-122.0874299
PAST SALE,September-9-2021,Single Family Residential,6 Hillview Ave,REDWOOD CITY,CA,94062,2345000,4,3.0,REDWOOD CITY,2130,7680,1947,20,1101,,Sold,,,http://www.redfin.com/CA/Redwood-City/6-Hillview-Ave-94062/home/1111371,MLSListings,ML81856438,Y,Y,37.4806744,-122.2516298
PAST SALE,September-10-2021,Single Family Residential,575 Boranda Ct,MOUNTAIN VIEW,CA,94040,2000000,4,3.5,MOUNTAIN VIEW,2667,3940,2003,19,750,,Sold,,,http://www.redfin.com/CA/Mountain-View/575-Boranda-Ct-94040/home/1261330,MLSListings,ML81855698,N,Y,37.3801298,-122.0817786
PAST SALE,September-10-2021,Single Family Residential,61 Coronado Ave,LOS ALTOS,CA,94022,4820000,3,4.5,LOS ALTOS,2705,13181,1941,19,1782,,Sold,,,http://www.redfin.com/CA/Los-Altos/61-Coronado-Ave-94022/home/1681541,MLSListings,ML81860749,N,Y,37.386156,-122.1155632
PAST SALE,August-31-2021,Single Family Residential,364 W Edith Ave,LOS ALTOS,CA,94022,3850000,5,3.0,LOS ALTOS,2854,12256,1970,29,1349,,Sold,,,http://www.redfin.com/CA/Los-Altos/364-W-Edith-Ave-94022/home/638822,MLSListings,ML81855777,N,Y,37.3811041,-122.1221521
